Abrupt abrupt A Ab Abr Abru t pt upt rupt INITCAP NODIGIT 0 NOPUNCT Abrupt Xxxx Xx DIFFERENTFONT HIGHERFONT false false BASELINE false
measurement measurement m me mea meas t nt ent ment NOCAPS NODIGIT 0 NOPUNCT measurement xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
under under u un und unde r er der nder NOCAPS NODIGIT 0 NOPUNCT under xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
pressure pressure p pr pre pres e re ure sure NOCAPS NODIGIT 0 NOPUNCT pressure xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
in in i in in in n in in in NOCAPS NODIGIT 0 NOPUNCT in xx x SAMEFONT SAMEFONTSIZE false false BASELINE false
single single s si sin sing e le gle ngle NOCAPS NODIGIT 0 NOPUNCT single xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
crystals crystals c cr cry crys s ls als tals NOCAPS NODIGIT 0 NOPUNCT crystals xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
of of o of of of f of of of NOCAPS NODIGIT 0 NOPUNCT of xx x SAMEFONT SAMEFONTSIZE false false BASELINE false
SrFe srfe S Sr SrF SrFe e Fe rFe SrFe INITCAP NODIGIT 0 NOPUNCT SrFe XxXXx XxXx SAMEFONT SAMEFONTSIZE false false BASELINE false
2 2 2 2 2 2 2 2 2 2 NOCAPS ALLDIGIT 1 NOPUNCT X d d SAMEFONT SAMEFONTSIZE false false BASELINE false
As as A As As As s As As As INITCAP NODIGIT 0 NOPUNCT As Xx Xx SAMEFONT SAMEFONTSIZE false false BASELINE false
2 2 2 2 2 2 2 2 2 2 NOCAPS ALLDIGIT 1 NOPUNCT X d d SAMEFONT SAMEFONTSIZE false false BASELINE false
, , , , , , , , , , ALLCAPS NODIGIT 1 COMMA , , , SAMEFONT SAMEFONTSIZE false false BASELINE false
which which w wh whi whic h ch ich hich NOCAPS NODIGIT 0 NOPUNCT which xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
is is i is is is s is is is NOCAPS NODIGIT 0 NOPUNCT is xx x SAMEFONT SAMEFONTSIZE false false BASELINE false
one one o on one one e ne one one NOCAPS NODIGIT 0 NOPUNCT one xxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
of of o of of of f of of of NOCAPS NODIGIT 0 NOPUNCT of xx x SAMEFONT SAMEFONTSIZE false false BASELINE false
the the t th the the e he the the NOCAPS NODIGIT 0 NOPUNCT the xxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
parent parent p pa par pare t nt ent rent NOCAPS NODIGIT 0 NOPUNCT parent xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
materials materials m ma mat mate s ls als ials NOCAPS NODIGIT 0 NOPUNCT materials xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
of of o of of of f of of of NOCAPS NODIGIT 0 NOPUNCT of xx x SAMEFONT SAMEFONTSIZE false false BASELINE false
Fe fe F Fe Fe Fe e Fe Fe Fe INITCAP NODIGIT 0 NOPUNCT Fe Xx Xx SAMEFONT SAMEFONTSIZE false false BASELINE true
- - - - - - - - - - ALLCAPS NODIGIT 1 HYPHEN - - - SAMEFONT SAMEFONTSIZE false false BASELINE false
based based b ba bas base d ed sed ased NOCAPS NODIGIT 0 NOPUNCT based xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
superconductors superconductors s su sup supe s rs ors tors NOCAPS NODIGIT 0 NOPUNCT superconductors xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
. . . . . . . . . . ALLCAPS NODIGIT 1 DOT . . . SAMEFONT SAMEFONTSIZE false false BASELINE false
The the T Th The The e he The The INITCAP NODIGIT 0 NOPUNCT The Xxx Xx SAMEFONT SAMEFONTSIZE false false BASELINE false
structural structural s st str stru l al ral ural NOCAPS NODIGIT 0 NOPUNCT structural xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
and and a an and and d nd and and NOCAPS NODIGIT 0 NOPUNCT and xxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
antiferromagnetic antiferromagnetic a an ant anti c ic tic etic NOCAPS NODIGIT 0 NOPUNCT antiferromagnetic xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
( ( ( ( ( ( ( ( ( ( ALLCAPS NODIGIT 1 OPENBRACKET ( ( ( SAMEFONT SAMEFONTSIZE false false BASELINE false
AFM afm A AF AFM AFM M FM AFM AFM ALLCAPS NODIGIT 0 NOPUNCT AFM XXX X SAMEFONT SAMEFONTSIZE false false BASELINE false
) ) ) ) ) ) ) ) ) ) ALLCAPS NODIGIT 1 ENDBRACKET ) ) ) SAMEFONT SAMEFONTSIZE false false BASELINE false
transition transition t tr tra tran n on ion tion NOCAPS NODIGIT 0 NOPUNCT transition xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
of of o of of of f of of of NOCAPS NODIGIT 0 NOPUNCT of xx x SAMEFONT SAMEFONTSIZE false false BASELINE false
T t T T T T T T T T ALLCAPS NODIGIT 1 NOPUNCT T X X DIFFERENTFONT SAMEFONTSIZE false false BASELINE false
0 0 0 0 0 0 0 0 0 0 NOCAPS ALLDIGIT 1 NOPUNCT X d d SAMEFONT SAMEFONTSIZE false false BASELINE false
= = = = = = = = = = ALLCAPS NODIGIT 1 NOPUNCT = = = DIFFERENTFONT SAMEFONTSIZE false false BASELINE false
198 198 1 19 198 198 8 98 198 198 NOCAPS ALLDIGIT 0 NOPUNCT XXX ddd d SAMEFONT SAMEFONTSIZE false false BASELINE false
K k K K K K K K K K ALLCAPS NODIGIT 1 NOPUNCT K X X SAMEFONT SAMEFONTSIZE false false BASELINE false
at at a at at at t at at at NOCAPS NODIGIT 0 NOPUNCT at xx x SAMEFONT SAMEFONTSIZE false false BASELINE false
ambient ambient a am amb ambi t nt ent ient NOCAPS NODIGIT 0 NOPUNCT ambient xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
pressure pressure p pr pre pres e re ure sure NOCAPS NODIGIT 0 NOPUNCT pressure xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
is is i is is is s is is is NOCAPS NODIGIT 0 NOPUNCT is xx x SAMEFONT SAMEFONTSIZE false false BASELINE false
suppressed suppressed s su sup supp d ed sed ssed NOCAPS NODIGIT 0 NOPUNCT suppressed xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
under under u un und unde r er der nder NOCAPS NODIGIT 0 NOPUNCT under xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
pressure pressure p pr pre pres e re ure sure NOCAPS NODIGIT 0 NOPUNCT pressure xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
, , , , , , , , , , ALLCAPS NODIGIT 1 COMMA , , , SAMEFONT SAMEFONTSIZE false false BASELINE false
and and a an and and d nd and and NOCAPS NODIGIT 0 NOPUNCT and xxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
the the t th the the e he the the NOCAPS NODIGIT 0 NOPUNCT the xxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
ordered ordered o or ord orde d ed red ered NOCAPS NODIGIT 0 NOPUNCT ordered xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
phase phase p ph pha phas e se ase hase NOCAPS NODIGIT 0 NOPUNCT phase xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
disappears disappears d di dis disa s rs ars ears NOCAPS NODIGIT 0 NOPUNCT disappears xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
above above a ab abo abov e ve ove bove NOCAPS NODIGIT 0 NOPUNCT above xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
Pc pc P Pc Pc Pc c Pc Pc Pc INITCAP NODIGIT 0 NOPUNCT Pc Xx Xx DIFFERENTFONT SAMEFONTSIZE false false BASELINE false
∼ ∼ ∼ ∼ ∼ ∼ ∼ ∼ ∼ ∼ ALLCAPS NODIGIT 1 NOPUNCT ∼ ∼ ∼ DIFFERENTFONT SAMEFONTSIZE false false BASELINE false
3 3 3 3 3 3 3 3 3 3 NOCAPS ALLDIGIT 1 NOPUNCT X d d DIFFERENTFONT SAMEFONTSIZE false false BASELINE false
. . . . . . . . . . ALLCAPS NODIGIT 1 DOT . . . SAMEFONT SAMEFONTSIZE false false BASELINE false
6 6 6 6 6 6 6 6 6 6 NOCAPS ALLDIGIT 1 NOPUNCT X d d SAMEFONT SAMEFONTSIZE false false BASELINE false
− − − − − − − − − − ALLCAPS NODIGIT 1 HYPHEN − − − DIFFERENTFONT SAMEFONTSIZE false false BASELINE false
3 3 3 3 3 3 3 3 3 3 NOCAPS ALLDIGIT 1 NOPUNCT X d d DIFFERENTFONT SAMEFONTSIZE false false BASELINE false
. . . . . . . . . . ALLCAPS NODIGIT 1 DOT . . . SAMEFONT SAMEFONTSIZE false false BASELINE false
7 7 7 7 7 7 7 7 7 7 NOCAPS ALLDIGIT 1 NOPUNCT X d d SAMEFONT SAMEFONTSIZE false false BASELINE false
GPa gpa G GP GPa GPa a Pa GPa GPa INITCAP NODIGIT 0 NOPUNCT GPa XXx Xx SAMEFONT SAMEFONTSIZE false false BASELINE false
. . . . . . . . . . ALLCAPS NODIGIT 1 DOT . . . SAMEFONT SAMEFONTSIZE false false BASELINE false
Superconductivity superconductivity S Su Sup Supe y ty ity vity INITCAP NODIGIT 0 NOPUNCT Superconductivity Xxxx Xx SAMEFONT SAMEFONTSIZE false false BASELINE false
with with w wi wit with h th ith with NOCAPS NODIGIT 0 NOPUNCT with xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
a a a a a a a a a a NOCAPS NODIGIT 1 NOPUNCT a x x SAMEFONT SAMEFONTSIZE false false BASELINE false
sharp sharp s sh sha shar p rp arp harp NOCAPS NODIGIT 0 NOPUNCT sharp xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
transition transition t tr tra tran n on ion tion NOCAPS NODIGIT 0 NOPUNCT transition xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
appears appears a ap app appe s rs ars ears NOCAPS NODIGIT 0 NOPUNCT appears xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
accompanied accompanied a ac acc acco d ed ied nied NOCAPS NODIGIT 0 NOPUNCT accompanied xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
by by b by by by y by by by NOCAPS NODIGIT 0 NOPUNCT by xx x SAMEFONT SAMEFONTSIZE false false BASELINE false
the the t th the the e he the the NOCAPS NODIGIT 0 NOPUNCT the xxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
suppression suppression s su sup supp n on ion sion NOCAPS NODIGIT 0 NOPUNCT suppression xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
of of o of of of f of of of NOCAPS NODIGIT 0 NOPUNCT of xx x SAMEFONT SAMEFONTSIZE false false BASELINE false
the the t th the the e he the the NOCAPS NODIGIT 0 NOPUNCT the xxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
AFM afm A AF AFM AFM M FM AFM AFM ALLCAPS NODIGIT 0 NOPUNCT AFM XXX X SAMEFONT SAMEFONTSIZE false false BASELINE false
state state s st sta stat e te ate tate NOCAPS NODIGIT 0 NOPUNCT state xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
. . . . . . . . . . ALLCAPS NODIGIT 1 DOT . . . SAMEFONT SAMEFONTSIZE false false BASELINE false
Tc tc T Tc Tc Tc c Tc Tc Tc INITCAP NODIGIT 0 NOPUNCT Tc Xx Xx DIFFERENTFONT SAMEFONTSIZE false false BASELINE false
exhibits exhibits e ex exh exhi s ts its bits NOCAPS NODIGIT 0 NOPUNCT exhibits xxxx x DIFFERENTFONT SAMEFONTSIZE false false BASELINE false
a a a a a a a a a a NOCAPS NODIGIT 1 NOPUNCT a x x SAMEFONT SAMEFONTSIZE false false BASELINE false
maximum maximum m ma max maxi m um mum imum NOCAPS NODIGIT 0 NOPUNCT maximum xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
of of o of of of f of of of NOCAPS NODIGIT 0 NOPUNCT of xx x SAMEFONT SAMEFONTSIZE false false BASELINE false
34 34 3 34 34 34 4 34 34 34 NOCAPS ALLDIGIT 0 NOPUNCT XX dd d SAMEFONT SAMEFONTSIZE false false BASELINE false
. . . . . . . . . . ALLCAPS NODIGIT 1 DOT . . . SAMEFONT SAMEFONTSIZE false false BASELINE false
1 1 1 1 1 1 1 1 1 1 NOCAPS ALLDIGIT 1 NOPUNCT X d d SAMEFONT SAMEFONTSIZE false false BASELINE false
K k K K K K K K K K ALLCAPS NODIGIT 1 NOPUNCT K X X SAMEFONT SAMEFONTSIZE false false BASELINE false
, , , , , , , , , , ALLCAPS NODIGIT 1 COMMA , , , SAMEFONT SAMEFONTSIZE false false BASELINE false
which which w wh whi whic h ch ich hich NOCAPS NODIGIT 0 NOPUNCT which xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
is is i is is is s is is is NOCAPS NODIGIT 0 NOPUNCT is xx x SAMEFONT SAMEFONTSIZE false false BASELINE false
realized realized r re rea real d ed zed ized NOCAPS NODIGIT 0 NOPUNCT realized xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
close close c cl clo clos e se ose lose NOCAPS NODIGIT 0 NOPUNCT close xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
to to t to to to o to to to NOCAPS NODIGIT 0 NOPUNCT to xx x SAMEFONT SAMEFONTSIZE false false BASELINE false
the the t th the the e he the the NOCAPS NODIGIT 0 NOPUNCT the xxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
phase phase p ph pha phas e se ase hase NOCAPS NODIGIT 0 NOPUNCT phase xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
boundary boundary b bo bou boun y ry ary dary NOCAPS NODIGIT 0 NOPUNCT boundary xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
at at a at at at t at at at NOCAPS NODIGIT 0 NOPUNCT at xx x SAMEFONT SAMEFONTSIZE false false BASELINE false
Pc pc P Pc Pc Pc c Pc Pc Pc INITCAP NODIGIT 0 NOPUNCT Pc Xx Xx DIFFERENTFONT SAMEFONTSIZE false false BASELINE false
. . . . . . . . . . ALLCAPS NODIGIT 1 DOT . . . SAMEFONT SAMEFONTSIZE false false BASELINE false
This this T Th Thi This s is his This INITCAP NODIGIT 0 NOPUNCT This Xxxx Xx DIFFERENTFONT SAMEFONTSIZE false false BASELINE false
Tc tc T Tc Tc Tc c Tc Tc Tc INITCAP NODIGIT 0 NOPUNCT Tc Xx Xx DIFFERENTFONT SAMEFONTSIZE false false BASELINE false
is is i is is is s is is is NOCAPS NODIGIT 0 NOPUNCT is xx x DIFFERENTFONT SAMEFONTSIZE false false BASELINE false
the the t th the the e he the the NOCAPS NODIGIT 0 NOPUNCT the xxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
highest highest h hi hig high t st est hest NOCAPS NODIGIT 0 NOPUNCT highest xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
among among a am amo amon g ng ong mong NOCAPS NODIGIT 0 NOPUNCT among xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
those those t th tho thos e se ose hose NOCAPS NODIGIT 0 NOPUNCT those xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
of of o of of of f of of of NOCAPS NODIGIT 0 NOPUNCT of xx x SAMEFONT SAMEFONTSIZE false false BASELINE false
the the t th the the e he the the NOCAPS NODIGIT 0 NOPUNCT the xxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
stoichiometric stoichiometric s st sto stoi c ic ric tric NOCAPS NODIGIT 0 NOPUNCT stoichiometric xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
Fe fe F Fe Fe Fe e Fe Fe Fe INITCAP NODIGIT 0 NOPUNCT Fe Xx Xx SAMEFONT SAMEFONTSIZE false false BASELINE true
- - - - - - - - - - ALLCAPS NODIGIT 1 HYPHEN - - - SAMEFONT SAMEFONTSIZE false false BASELINE false
based based b ba bas base d ed sed ased NOCAPS NODIGIT 0 NOPUNCT based xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
superconductors superconductors s su sup supe s rs ors tors NOCAPS NODIGIT 0 NOPUNCT superconductors xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
. . . . . . . . . . ALLCAPS NODIGIT 1 DOT . . . SAMEFONT SAMEFONTSIZE false false BASELINE false


SrFe srfe S Sr SrF SrFe e Fe rFe SrFe INITCAP NODIGIT 0 NOPUNCT SrFe XxXXx XxXx SAMEFONT SAMEFONTSIZE false false BASELINE false
2 2 2 2 2 2 2 2 2 2 NOCAPS ALLDIGIT 1 NOPUNCT X d d SAMEFONT SAMEFONTSIZE false false BASELINE false
As as A As As As s As As As INITCAP NODIGIT 0 NOPUNCT As Xx Xx SAMEFONT SAMEFONTSIZE false false BASELINE false
2 2 2 2 2 2 2 2 2 2 NOCAPS ALLDIGIT 1 NOPUNCT X d d SAMEFONT SAMEFONTSIZE false false BASELINE false
, , , , , , , , , , ALLCAPS NODIGIT 1 COMMA , , , SAMEFONT SAMEFONTSIZE false false BASELINE false
superconductivity superconductivity s su sup supe y ty ity vity NOCAPS NODIGIT 0 NOPUNCT superconductivity xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
, , , , , , , , , , ALLCAPS NODIGIT 1 COMMA , , , SAMEFONT SAMEFONTSIZE false false BASELINE false
pressure pressure p pr pre pres e re ure sure NOCAPS NODIGIT 0 NOPUNCT pressure xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
, , , , , , , , , , ALLCAPS NODIGIT 1 COMMA , , , SAMEFONT SAMEFONTSIZE false false BASELINE false
single single s si sin sing e le gle ngle NOCAPS NODIGIT 0 NOPUNCT single xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
crystal crystal c cr cry crys l al tal stal NOCAPS NODIGIT 0 NOPUNCT crystal xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false


After after A Af Aft Afte r er ter fter INITCAP NODIGIT 0 NOPUNCT After Xxxx Xx DIFFERENTFONT HIGHERFONT false false BASELINE false
the the t th the the e he the the NOCAPS NODIGIT 0 NOPUNCT the xxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
discovery discovery d di dis disc y ry ery very NOCAPS NODIGIT 0 NOPUNCT discovery xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
of of o of of of f of of of NOCAPS NODIGIT 0 NOPUNCT of xx x SAMEFONT SAMEFONTSIZE false false BASELINE false
superconductivity superconductivity s su sup supe y ty ity vity NOCAPS NODIGIT 0 NOPUNCT superconductivity xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
at at a at at at t at at at NOCAPS NODIGIT 0 NOPUNCT at xx x SAMEFONT SAMEFONTSIZE false false BASELINE false
26 26 2 26 26 26 6 26 26 26 NOCAPS ALLDIGIT 0 NOPUNCT XX dd d SAMEFONT SAMEFONTSIZE false false BASELINE false
K k K K K K K K K K ALLCAPS NODIGIT 1 NOPUNCT K X X SAMEFONT SAMEFONTSIZE false false BASELINE false
in in i in in in n in in in NOCAPS NODIGIT 0 NOPUNCT in xx x SAMEFONT SAMEFONTSIZE false false BASELINE false
F f F F F F F F F F ALLCAPS NODIGIT 1 NOPUNCT F X X SAMEFONT SAMEFONTSIZE false false BASELINE false
- - - - - - - - - - ALLCAPS NODIGIT 1 HYPHEN - - - SAMEFONT SAMEFONTSIZE false false BASELINE false
doped doped d do dop dope d ed ped oped NOCAPS NODIGIT 0 NOPUNCT doped xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
system system s sy sys syst m em tem stem NOCAPS NODIGIT 0 NOPUNCT system xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
LaFeAsO lafeaso L La LaF LaFe O sO AsO eAsO INITCAP NODIGIT 0 NOPUNCT LaFeAsO XxXxXxX XxXxXxX SAMEFONT SAMEFONTSIZE false false BASELINE true
1 1 1 1 1 1 1 1 1 1 NOCAPS ALLDIGIT 1 NOPUNCT X d d DIFFERENTFONT LOWERFONT false false SUBSCRIPT true
− − − − − − − − − − ALLCAPS NODIGIT 1 HYPHEN − − − SAMEFONT SAMEFONTSIZE false false SUBSCRIPT true
x x x x x x x x x x NOCAPS NODIGIT 1 NOPUNCT x x x SAMEFONT SAMEFONTSIZE false false SUBSCRIPT true
F f F F F F F F F F ALLCAPS NODIGIT 1 NOPUNCT F X X DIFFERENTFONT HIGHERFONT false false BASELINE true
x x x x x x x x x x NOCAPS NODIGIT 1 NOPUNCT x x x DIFFERENTFONT LOWERFONT false false SUBSCRIPT false
( ( ( ( ( ( ( ( ( ( ALLCAPS NODIGIT 1 OPENBRACKET ( ( ( DIFFERENTFONT HIGHERFONT false false BASELINE false
ZrCuSiAs zrcusias Z Zr ZrC ZrCu s As iAs SiAs INITCAP NODIGIT 0 NOPUNCT ZrCuSiAs XxXxXxXx XxXxXxXx SAMEFONT SAMEFONTSIZE false false BASELINE false
- - - - - - - - - - ALLCAPS NODIGIT 1 HYPHEN - - - SAMEFONT SAMEFONTSIZE false false BASELINE false
type type t ty typ type e pe ype type NOCAPS NODIGIT 0 NOPUNCT type xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
struc struc s st str stru c uc ruc truc NOCAPS NODIGIT 0 NOPUNCT struc xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
- - - - - - - - - - ALLCAPS NODIGIT 1 HYPHEN - - - SAMEFONT SAMEFONTSIZE false false BASELINE false
ture ture t tu tur ture e re ure ture NOCAPS NODIGIT 0 NOPUNCT ture xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
) ) ) ) ) ) ) ) ) ) ALLCAPS NODIGIT 1 ENDBRACKET ) ) ) SAMEFONT SAMEFONTSIZE false false BASELINE false
, , , , , , , , , , ALLCAPS NODIGIT 1 COMMA , , , SAMEFONT SAMEFONTSIZE false false BASELINE false
1 1 1 1 1 1 1 1 1 1 NOCAPS ALLDIGIT 1 NOPUNCT X d d DIFFERENTFONT LOWERFONT false false SUPERSCRIPT false
various various v va var vari s us ous ious NOCAPS NODIGIT 0 NOPUNCT various xxxx x DIFFERENTFONT HIGHERFONT false false BASELINE false
Fe fe F Fe Fe Fe e Fe Fe Fe INITCAP NODIGIT 0 NOPUNCT Fe Xx Xx SAMEFONT SAMEFONTSIZE false false BASELINE true
- - - - - - - - - - ALLCAPS NODIGIT 1 HYPHEN - - - SAMEFONT SAMEFONTSIZE false false BASELINE false
based based b ba bas base d ed sed ased NOCAPS NODIGIT 0 NOPUNCT based xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
materials materials m ma mat mate s ls als ials NOCAPS NODIGIT 0 NOPUNCT materials xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
have have h ha hav have e ve ave have NOCAPS NODIGIT 0 NOPUNCT have xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
been been b be bee been n en een been NOCAPS NODIGIT 0 NOPUNCT been xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
reported reported r re rep repo d ed ted rted NOCAPS NODIGIT 0 NOPUNCT reported xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
to to t to to to o to to to NOCAPS NODIGIT 0 NOPUNCT to xx x SAMEFONT SAMEFONTSIZE false false BASELINE false
show show s sh sho show w ow how show NOCAPS NODIGIT 0 NOPUNCT show xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
superconductivity superconductivity s su sup supe y ty ity vity NOCAPS NODIGIT 0 NOPUNCT superconductivity xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
. . . . . . . . . . ALLCAPS NODIGIT 1 DOT . . . SAMEFONT SAMEFONTSIZE false false BASELINE false
Among among A Am Amo Amon g ng ong mong INITCAP NODIGIT 0 NOPUNCT Among Xxxx Xx SAMEFONT SAMEFONTSIZE false false BASELINE false
them them t th the them m em hem them NOCAPS NODIGIT 0 NOPUNCT them xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
, , , , , , , , , , ALLCAPS NODIGIT 1 COMMA , , , SAMEFONT SAMEFONTSIZE false false BASELINE false
AFe afe A AF AFe AFe e Fe AFe AFe INITCAP NODIGIT 0 NOPUNCT AFe XXx Xx DIFFERENTFONT SAMEFONTSIZE false false BASELINE false
