THE the T TH THE THE E HE THE THE ALLCAPS NODIGIT 0 NOPUNCT THE XXX X DIFFERENTFONT LOWERFONT false false BASELINE false
structure structure s st str stru e re ure ture NOCAPS NODIGIT 0 NOPUNCT structure xxxx x SAMEFONT SAMEFONTSIZE true false BASELINE false
of of o of of of f of of of NOCAPS NODIGIT 0 NOPUNCT of xx x SAMEFONT SAMEFONTSIZE true false BASELINE false
superconducting superconducting s su sup supe g ng ing ting NOCAPS NODIGIT 0 NOPUNCT superconducting xxxx x SAMEFONT SAMEFONTSIZE true false BASELINE false
La la L La La La a La La La INITCAP NODIGIT 0 NOPUNCT La Xx Xx SAMEFONT SAMEFONTSIZE true false BASELINE true
, , , , , , , , , , ALLCAPS NODIGIT 1 COMMA , , , SAMEFONT SAMEFONTSIZE true false BASELINE true
CuO cuo C Cu CuO CuO O uO CuO CuO INITCAP NODIGIT 0 NOPUNCT CuO XxX XxX SAMEFONT SAMEFONTSIZE true false BASELINE true
, , , , , , , , , , ALLCAPS NODIGIT 1 COMMA , , , SAMEFONT SAMEFONTSIZE true false BASELINE true
o o o o o o o o o o NOCAPS NODIGIT 1 NOPUNCT o x x SAMEFONT SAMEFONTSIZE true false BASELINE true
, , , , , , , , , , ALLCAPS NODIGIT 1 COMMA , , , SAMEFONT SAMEFONTSIZE true false BASELINE false
has has h ha has has s as has has NOCAPS NODIGIT 0 NOPUNCT has xxx x SAMEFONT SAMEFONTSIZE true false BASELINE false
been been b be bee been n en een been NOCAPS NODIGIT 0 NOPUNCT been xxxx x SAMEFONT SAMEFONTSIZE true false BASELINE false
determined determined d de det dete d ed ned ined NOCAPS NODIGIT 0 NOPUNCT determined xxxx x SAMEFONT SAMEFONTSIZE true false BASELINE false
by by b by by by y by by by NOCAPS NODIGIT 0 NOPUNCT by xx x SAMEFONT SAMEFONTSIZE true false BASELINE false
single single s si sin sing e le gle ngle NOCAPS NODIGIT 0 NOPUNCT single xxxx x SAMEFONT SAMEFONTSIZE true false BASELINE false
- - - - - - - - - - ALLCAPS NODIGIT 1 HYPHEN - - - SAMEFONT SAMEFONTSIZE true false BASELINE false
crystal crystal c cr cry crys l al tal stal NOCAPS NODIGIT 0 NOPUNCT crystal xxxx x SAMEFONT SAMEFONTSIZE true false BASELINE false
neutron neutron n ne neu neut n on ron tron NOCAPS NODIGIT 0 NOPUNCT neutron xxxx x SAMEFONT SAMEFONTSIZE true false BASELINE false
diffraction diffraction d di dif diff n on ion tion NOCAPS NODIGIT 0 NOPUNCT diffraction xxxx x SAMEFONT SAMEFONTSIZE true false BASELINE false
data data d da dat data a ta ata data NOCAPS NODIGIT 0 NOPUNCT data xxxx x SAMEFONT SAMEFONTSIZE true false BASELINE false
. . . . . . . . . . ALLCAPS NODIGIT 1 DOT . . . SAMEFONT SAMEFONTSIZE true false BASELINE false
The the T Th The The e he The The INITCAP NODIGIT 0 NOPUNCT The Xxx Xx SAMEFONT SAMEFONTSIZE true false BASELINE false
excess excess e ex exc exce s ss ess cess NOCAPS NODIGIT 0 NOPUNCT excess xxxx x SAMEFONT SAMEFONTSIZE true false BASELINE false
oxygen oxygen o ox oxy oxyg n en gen ygen NOCAPS NODIGIT 0 NOPUNCT oxygen xxxx x SAMEFONT SAMEFONTSIZE true false BASELINE true
, , , , , , , , , , ALLCAPS NODIGIT 1 COMMA , , , SAMEFONT SAMEFONTSIZE true false BASELINE false
0 0 0 0 0 0 0 0 0 0 NOCAPS ALLDIGIT 1 NOPUNCT X d d SAMEFONT SAMEFONTSIZE true false BASELINE false
4 4 4 4 4 4 4 4 4 4 NOCAPS ALLDIGIT 1 NOPUNCT X d d SAMEFONT SAMEFONTSIZE true false BASELINE false
, , , , , , , , , , ALLCAPS NODIGIT 1 COMMA , , , SAMEFONT SAMEFONTSIZE true false BASELINE false
is is i is is is s is is is NOCAPS NODIGIT 0 NOPUNCT is xx x SAMEFONT SAMEFONTSIZE true false BASELINE false
located located l lo loc loca d ed ted ated NOCAPS NODIGIT 0 NOPUNCT located xxxx x SAMEFONT SAMEFONTSIZE true false BASELINE false
between between b be bet betw n en een ween NOCAPS NODIGIT 0 NOPUNCT between xxxx x SAMEFONT SAMEFONTSIZE true false BASELINE false
two two t tw two two o wo two two NOCAPS NODIGIT 0 NOPUNCT two xxx x SAMEFONT SAMEFONTSIZE true false BASELINE false
adjacent adjacent a ad adj adja t nt ent cent NOCAPS NODIGIT 0 NOPUNCT adjacent xxxx x SAMEFONT SAMEFONTSIZE true false BASELINE false
La la L La La La a La La La INITCAP NODIGIT 0 NOPUNCT La Xx Xx SAMEFONT SAMEFONTSIZE true false BASELINE false
01 01 0 01 01 01 1 01 01 01 NOCAPS ALLDIGIT 0 NOPUNCT XX dd d SAMEFONT SAMEFONTSIZE true false BASELINE false
layers layers l la lay laye s rs ers yers NOCAPS NODIGIT 0 NOPUNCT layers xxxx x SAMEFONT SAMEFONTSIZE true false BASELINE false
. . . . . . . . . . ALLCAPS NODIGIT 1 DOT . . . SAMEFONT SAMEFONTSIZE true false BASELINE false
The the T Th The The e he The The INITCAP NODIGIT 0 NOPUNCT The Xxx Xx SAMEFONT SAMEFONTSIZE true false BASELINE false
presence presence p pr pre pres e ce nce ence NOCAPS NODIGIT 0 NOPUNCT presence xxxx x SAMEFONT SAMEFONTSIZE true false BASELINE false
of of o of of of f of of of NOCAPS NODIGIT 0 NOPUNCT of xx x SAMEFONT SAMEFONTSIZE true false BASELINE false
04 04 0 04 04 04 4 04 04 04 NOCAPS ALLDIGIT 0 NOPUNCT XX dd d DIFFERENTFONT HIGHERFONT true true BASELINE false
distorts distorts d di dis dist s ts rts orts NOCAPS NODIGIT 0 NOPUNCT distorts xxxx x DIFFERENTFONT LOWERFONT true false BASELINE false
the the t th the the e he the the NOCAPS NODIGIT 0 NOPUNCT the xxx x SAMEFONT SAMEFONTSIZE true false BASELINE false
apical apical a ap api apic l al cal ical NOCAPS NODIGIT 0 NOPUNCT apical xxxx x SAMEFONT SAMEFONTSIZE true false BASELINE true
- - - - - - - - - - ALLCAPS NODIGIT 1 HYPHEN - - - SAMEFONT SAMEFONTSIZE true false BASELINE true
oxygen oxygen o ox oxy oxyg n en gen ygen NOCAPS NODIGIT 0 NOPUNCT oxygen xxxx x SAMEFONT SAMEFONTSIZE true false BASELINE true
01 01 0 01 01 01 1 01 01 01 NOCAPS ALLDIGIT 0 NOPUNCT XX dd d DIFFERENTFONT LOWERFONT false false BASELINE true
sublattice sublattice s su sub subl e ce ice tice NOCAPS NODIGIT 0 NOPUNCT sublattice xxxx x DIFFERENTFONT HIGHERFONT true false BASELINE true
in in i in in in n in in in NOCAPS NODIGIT 0 NOPUNCT in xx x SAMEFONT SAMEFONTSIZE true false BASELINE false
such such s su suc such h ch uch such NOCAPS NODIGIT 0 NOPUNCT such xxxx x SAMEFONT SAMEFONTSIZE true false BASELINE false
that that t th tha that t at hat that NOCAPS NODIGIT 0 NOPUNCT that xxxx x SAMEFONT SAMEFONTSIZE true false BASELINE false
each each e ea eac each h ch ach each NOCAPS NODIGIT 0 NOPUNCT each xxxx x SAMEFONT SAMEFONTSIZE true false BASELINE false
0 0 0 0 0 0 0 0 0 0 NOCAPS ALLDIGIT 1 NOPUNCT X d d SAMEFONT SAMEFONTSIZE true false BASELINE false
4 4 4 4 4 4 4 4 4 4 NOCAPS ALLDIGIT 1 NOPUNCT X d d SAMEFONT SAMEFONTSIZE true false BASELINE false
forms forms f fo for form s ms rms orms NOCAPS NODIGIT 0 NOPUNCT forms xxxx x SAMEFONT SAMEFONTSIZE true false BASELINE false
a a a a a a a a a a NOCAPS NODIGIT 1 NOPUNCT a x x SAMEFONT SAMEFONTSIZE true false BASELINE false
short short s sh sho shor t rt ort hort NOCAPS NODIGIT 0 NOPUNCT short xxxx x SAMEFONT SAMEFONTSIZE true false BASELINE false
bond bond b bo bon bond d nd ond bond NOCAPS NODIGIT 0 NOPUNCT bond xxxx x SAMEFONT SAMEFONTSIZE true false BASELINE false
( ( ( ( ( ( ( ( ( ( ALLCAPS NODIGIT 1 OPENBRACKET ( ( ( DIFFERENTFONT HIGHERFONT true false BASELINE false
1 1 1 1 1 1 1 1 1 1 NOCAPS ALLDIGIT 1 NOPUNCT X d d SAMEFONT SAMEFONTSIZE true false BASELINE false
. . . . . . . . . . ALLCAPS NODIGIT 1 DOT . . . SAMEFONT SAMEFONTSIZE true false BASELINE false
64 64 6 64 64 64 4 64 64 64 NOCAPS ALLDIGIT 0 NOPUNCT XX dd d SAMEFONT SAMEFONTSIZE true false BASELINE false
A a A A A A A A A A ALLCAPS NODIGIT 1 NOPUNCT A X X SAMEFONT SAMEFONTSIZE true false BASELINE false
) ) ) ) ) ) ) ) ) ) ALLCAPS NODIGIT 1 ENDBRACKET ) ) ) SAMEFONT SAMEFONTSIZE true false BASELINE false
with with w wi wit with h th ith with NOCAPS NODIGIT 0 NOPUNCT with xxxx x DIFFERENTFONT LOWERFONT true false BASELINE false
one one o on one one e ne one one NOCAPS NODIGIT 0 NOPUNCT one xxx x SAMEFONT SAMEFONTSIZE true false BASELINE false
01 01 0 01 01 01 1 01 01 01 NOCAPS ALLDIGIT 0 NOPUNCT XX dd d DIFFERENTFONT LOWERFONT false false BASELINE false
, , , , , , , , , , ALLCAPS NODIGIT 1 COMMA , , , SAMEFONT SAMEFONTSIZE false false BASELINE false
which which w wh whi whic h ch ich hich NOCAPS NODIGIT 0 NOPUNCT which xxxx x DIFFERENTFONT HIGHERFONT true false BASELINE false
indicates indicates i in ind indi s es tes ates NOCAPS NODIGIT 0 NOPUNCT indicates xxxx x SAMEFONT SAMEFONTSIZE true false BASELINE false
the the t th the the e he the the NOCAPS NODIGIT 0 NOPUNCT the xxx x SAMEFONT SAMEFONTSIZE true false BASELINE false
formation formation f fo for form n on ion tion NOCAPS NODIGIT 0 NOPUNCT formation xxxx x SAMEFONT SAMEFONTSIZE true false BASELINE false
of of o of of of f of of of NOCAPS NODIGIT 0 NOPUNCT of xx x SAMEFONT SAMEFONTSIZE true false BASELINE false
a a a a a a a a a a NOCAPS NODIGIT 1 NOPUNCT a x x SAMEFONT SAMEFONTSIZE true false BASELINE false
strong strong s st str stro g ng ong rong NOCAPS NODIGIT 0 NOPUNCT strong xxxx x SAMEFONT SAMEFONTSIZE true false BASELINE false
covalent covalent c co cov cova t nt ent lent NOCAPS NODIGIT 0 NOPUNCT covalent xxxx x SAMEFONT SAMEFONTSIZE true false BASELINE false
bond bond b bo bon bond d nd ond bond NOCAPS NODIGIT 0 NOPUNCT bond xxxx x SAMEFONT SAMEFONTSIZE true false BASELINE false
between between b be bet betw n en een ween NOCAPS NODIGIT 0 NOPUNCT between xxxx x SAMEFONT SAMEFONTSIZE true false BASELINE false
these these t th the thes e se ese hese NOCAPS NODIGIT 0 NOPUNCT these xxxx x SAMEFONT SAMEFONTSIZE true false BASELINE false
two two t tw two two o wo two two NOCAPS NODIGIT 0 NOPUNCT two xxx x SAMEFONT SAMEFONTSIZE true false BASELINE false
atoms atoms a at ato atom s ms oms toms NOCAPS NODIGIT 0 NOPUNCT atoms xxxx x SAMEFONT SAMEFONTSIZE true false BASELINE false
. . . . . . . . . . ALLCAPS NODIGIT 1 DOT . . . SAMEFONT SAMEFONTSIZE true false BASELINE false
The the T Th The The e he The The INITCAP NODIGIT 0 NOPUNCT The Xxx Xx SAMEFONT SAMEFONTSIZE true false BASELINE false
Cu cu C Cu Cu Cu u Cu Cu Cu INITCAP NODIGIT 0 NOPUNCT Cu Xx Xx SAMEFONT SAMEFONTSIZE true false BASELINE true
and and a an and and d nd and and NOCAPS NODIGIT 0 NOPUNCT and xxx x SAMEFONT SAMEFONTSIZE true false BASELINE false
0 0 0 0 0 0 0 0 0 0 NOCAPS ALLDIGIT 1 NOPUNCT X d d SAMEFONT HIGHERFONT true false BASELINE false
2 2 2 2 2 2 2 2 2 2 NOCAPS ALLDIGIT 1 NOPUNCT X d d SAMEFONT SAMEFONTSIZE true false BASELINE false
sublattices sublattices s su sub subl s es ces ices NOCAPS NODIGIT 0 NOPUNCT sublattices xxxx x SAMEFONT LOWERFONT true false BASELINE false
as as a as as as s as as as NOCAPS NODIGIT 0 NOPUNCT as xx x SAMEFONT SAMEFONTSIZE true false BASELINE false
well well w we wel well l ll ell well NOCAPS NODIGIT 0 NOPUNCT well xxxx x SAMEFONT SAMEFONTSIZE true false BASELINE false
as as a as as as s as as as NOCAPS NODIGIT 0 NOPUNCT as xx x SAMEFONT SAMEFONTSIZE true false BASELINE false
that that t th tha that t at hat that NOCAPS NODIGIT 0 NOPUNCT that xxxx x SAMEFONT SAMEFONTSIZE true false BASELINE false
of of o of of of f of of of NOCAPS NODIGIT 0 NOPUNCT of xx x SAMEFONT SAMEFONTSIZE true false BASELINE false
La la L La La La a La La La INITCAP NODIGIT 0 NOPUNCT La Xx Xx SAMEFONT SAMEFONTSIZE true false BASELINE true
are are a ar are are e re are are NOCAPS NODIGIT 0 NOPUNCT are xxx x SAMEFONT SAMEFONTSIZE true false BASELINE false
not not n no not not t ot not not NOCAPS NODIGIT 0 NOPUNCT not xxx x SAMEFONT SAMEFONTSIZE true false BASELINE false
affected affected a af aff affe d ed ted cted NOCAPS NODIGIT 0 NOPUNCT affected xxxx x SAMEFONT SAMEFONTSIZE true false BASELINE false
by by b by by by y by by by NOCAPS NODIGIT 0 NOPUNCT by xx x SAMEFONT SAMEFONTSIZE true false BASELINE false
0 0 0 0 0 0 0 0 0 0 NOCAPS ALLDIGIT 1 NOPUNCT X d d SAMEFONT SAMEFONTSIZE true false BASELINE false
4 4 4 4 4 4 4 4 4 4 NOCAPS ALLDIGIT 1 NOPUNCT X d d SAMEFONT SAMEFONTSIZE true false BASELINE false
, , , , , , , , , , ALLCAPS NODIGIT 1 COMMA , , , SAMEFONT SAMEFONTSIZE true false BASELINE false
however however h ho how howe r er ver ever NOCAPS NODIGIT 0 NOPUNCT however xxxx x SAMEFONT SAMEFONTSIZE true false BASELINE false
, , , , , , , , , , ALLCAPS NODIGIT 1 COMMA , , , SAMEFONT SAMEFONTSIZE true false BASELINE false
1 1 1 1 1 1 1 1 1 1 NOCAPS ALLDIGIT 1 NOPUNCT X d d DIFFERENTFONT LOWERFONT true false SUBSCRIPT false
. . . . . . . . . . ALLCAPS NODIGIT 1 DOT . . . SAMEFONT SAMEFONTSIZE true false SUBSCRIPT false
6 6 6 6 6 6 6 6 6 6 NOCAPS ALLDIGIT 1 NOPUNCT X d d SAMEFONT SAMEFONTSIZE true false SUBSCRIPT false
% % % % % % % % % % ALLCAPS NODIGIT 1 NOPUNCT % % % SAMEFONT SAMEFONTSIZE true false SUBSCRIPT false
of of o of of of f of of of NOCAPS NODIGIT 0 NOPUNCT of xx x DIFFERENTFONT HIGHERFONT true false BASELINE false
the the t th the the e he the the NOCAPS NODIGIT 0 NOPUNCT the xxx x SAMEFONT LOWERFONT true false BASELINE false
La la L La La La a La La La INITCAP NODIGIT 0 NOPUNCT La Xx Xx SAMEFONT SAMEFONTSIZE true false BASELINE false
cations cations c ca cat cati s ns ons ions NOCAPS NODIGIT 0 NOPUNCT cations xxxx x SAMEFONT SAMEFONTSIZE true false BASELINE false
increase increase i in inc incr e se ase ease NOCAPS NODIGIT 0 NOPUNCT increase xxxx x SAMEFONT SAMEFONTSIZE true false BASELINE false
their their t th the thei r ir eir heir NOCAPS NODIGIT 0 NOPUNCT their xxxx x SAMEFONT SAMEFONTSIZE true false BASELINE false
coordination coordination c co coo coor n on ion tion NOCAPS NODIGIT 0 NOPUNCT coordination xxxx x SAMEFONT SAMEFONTSIZE true false BASELINE false
from from f fr fro from m om rom from NOCAPS NODIGIT 0 NOPUNCT from xxxx x SAMEFONT SAMEFONTSIZE true false BASELINE false
9 9 9 9 9 9 9 9 9 9 NOCAPS ALLDIGIT 1 NOPUNCT X d d SAMEFONT SAMEFONTSIZE true false BASELINE false
to to t to to to o to to to NOCAPS NODIGIT 0 NOPUNCT to xx x SAMEFONT SAMEFONTSIZE true false BASELINE false
10 10 1 10 10 10 0 10 10 10 NOCAPS ALLDIGIT 0 NOPUNCT XX dd d DIFFERENTFONT LOWERFONT false false BASELINE false
. . . . . . . . . . ALLCAPS NODIGIT 1 DOT . . . SAMEFONT SAMEFONTSIZE false false BASELINE false


It it I It It It t It It It INITCAP NODIGIT 0 NOPUNCT It Xx Xx DIFFERENTFONT HIGHERFONT false false BASELINE false
is is i is is is s is is is NOCAPS NODIGIT 0 NOPUNCT is xx x SAMEFONT SAMEFONTSIZE false false BASELINE false
well well w we wel well l ll ell well NOCAPS NODIGIT 0 NOPUNCT well xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
established established e es est esta d ed hed shed NOCAPS NODIGIT 0 NOPUNCT established xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
today today t to tod toda y ay day oday NOCAPS NODIGIT 0 NOPUNCT today xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
that that t th tha that t at hat that NOCAPS NODIGIT 0 NOPUNCT that xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
La la L La La La a La La La INITCAP NODIGIT 0 NOPUNCT La Xx Xx SAMEFONT SAMEFONTSIZE false false BASELINE true
2 2 2 2 2 2 2 2 2 2 NOCAPS ALLDIGIT 1 NOPUNCT X d d SAMEFONT SAMEFONTSIZE false false BASELINE true
Cu cu C Cu Cu Cu u Cu Cu Cu INITCAP NODIGIT 0 NOPUNCT Cu Xx Xx SAMEFONT SAMEFONTSIZE false false BASELINE true
04 04 0 04 04 04 4 04 04 04 NOCAPS ALLDIGIT 0 NOPUNCT XX dd d SAMEFONT SAMEFONTSIZE false false BASELINE true
becomes becomes b be bec beco s es mes omes NOCAPS NODIGIT 0 NOPUNCT becomes xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
supercon supercon s su sup supe n on con rcon NOCAPS NODIGIT 0 NOPUNCT supercon xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
- - - - - - - - - - ALLCAPS NODIGIT 1 HYPHEN - - - SAMEFONT SAMEFONTSIZE false false BASELINE false
ducting ducting d du duc duct g ng ing ting NOCAPS NODIGIT 0 NOPUNCT ducting xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
with with w wi wit with h th ith with NOCAPS NODIGIT 0 NOPUNCT with xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
Tc tc T Tc Tc Tc c Tc Tc Tc INITCAP NODIGIT 0 NOPUNCT Tc Xx Xx DIFFERENTFONT SAMEFONTSIZE false true SUPERSCRIPT false
' ' ' ' ' ' ' ' ' ' ALLCAPS NODIGIT 1 QUOTE ' ' ' SAMEFONT SAMEFONTSIZE false true SUPERSCRIPT false
s s s s s s s s s s NOCAPS NODIGIT 1 NOPUNCT s x x SAMEFONT SAMEFONTSIZE false true SUPERSCRIPT false
between between b be bet betw n en een ween NOCAPS NODIGIT 0 NOPUNCT between xxxx x DIFFERENTFONT SAMEFONTSIZE false false SUPERSCRIPT false
28 28 2 28 28 28 8 28 28 28 NOCAPS ALLDIGIT 0 NOPUNCT XX dd d DIFFERENTFONT SAMEFONTSIZE true false SUPERSCRIPT false
K k K K K K K K K K ALLCAPS NODIGIT 1 NOPUNCT K X X DIFFERENTFONT LOWERFONT false false SUPERSCRIPT false
and and a an and and d nd and and NOCAPS NODIGIT 0 NOPUNCT and xxx x SAMEFONT HIGHERFONT false false SUPERSCRIPT false
40 40 4 40 40 40 0 40 40 40 NOCAPS ALLDIGIT 0 NOPUNCT XX dd d DIFFERENTFONT SAMEFONTSIZE true false SUPERSCRIPT false
K k K K K K K K K K ALLCAPS NODIGIT 1 NOPUNCT K X X DIFFERENTFONT HIGHERFONT false false BASELINE false
either either e ei eit eith r er her ther NOCAPS NODIGIT 0 NOPUNCT either xxxx x SAMEFONT LOWERFONT false false BASELINE false
by by b by by by y by by by NOCAPS NODIGIT 0 NOPUNCT by xx x SAMEFONT SAMEFONTSIZE false false BASELINE false
cation cation c ca cat cati n on ion tion NOCAPS NODIGIT 0 NOPUNCT cation xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
doping doping d do dop dopi g ng ing ping NOCAPS NODIGIT 0 NOPUNCT doping xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
on on o on on on n on on on NOCAPS NODIGIT 0 NOPUNCT on xx x SAMEFONT SAMEFONTSIZE false false BASELINE false
the the t th the the e he the the NOCAPS NODIGIT 0 NOPUNCT the xxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
La la L La La La a La La La INITCAP NODIGIT 0 NOPUNCT La Xx Xx SAMEFONT SAMEFONTSIZE false false BASELINE true
- - - - - - - - - - ALLCAPS NODIGIT 1 HYPHEN - - - SAMEFONT SAMEFONTSIZE false false BASELINE false
sites sites s si sit site s es tes ites NOCAPS NODIGIT 0 NOPUNCT sites xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
or or o or or or r or or or NOCAPS NODIGIT 0 NOPUNCT or xx x SAMEFONT SAMEFONTSIZE false false BASELINE false
by by b by by by y by by by NOCAPS NODIGIT 0 NOPUNCT by xx x SAMEFONT SAMEFONTSIZE false false BASELINE false
raising raising r ra rai rais g ng ing sing NOCAPS NODIGIT 0 NOPUNCT raising xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
the the t th the the e he the the NOCAPS NODIGIT 0 NOPUNCT the xxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
oxygen oxygen o ox oxy oxyg n en gen ygen NOCAPS NODIGIT 0 NOPUNCT oxygen xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE true
content content c co con cont t nt ent tent NOCAPS NODIGIT 0 NOPUNCT content xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
to to t to to to o to to to NOCAPS NODIGIT 0 NOPUNCT to xx x SAMEFONT SAMEFONTSIZE false false BASELINE false
more more m mo mor more e re ore more NOCAPS NODIGIT 0 NOPUNCT more xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
than than t th tha than n an han than NOCAPS NODIGIT 0 NOPUNCT than xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
4 4 4 4 4 4 4 4 4 4 NOCAPS ALLDIGIT 1 NOPUNCT X d d DIFFERENTFONT SAMEFONTSIZE true false BASELINE false
. . . . . . . . . . ALLCAPS NODIGIT 1 DOT . . . SAMEFONT SAMEFONTSIZE true false BASELINE false
The the T Th The The e he The The INITCAP NODIGIT 0 NOPUNCT The Xxx Xx DIFFERENTFONT SAMEFONTSIZE false false BASELINE false
superconducting superconducting s su sup supe g ng ing ting NOCAPS NODIGIT 0 NOPUNCT superconducting xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
properties properties p pr pro prop s es ies ties NOCAPS NODIGIT 0 NOPUNCT properties xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
of of o of of of f of of of NOCAPS NODIGIT 0 NOPUNCT of xx x SAMEFONT SAMEFONTSIZE false false BASELINE false
" " " " " " " " " " ALLCAPS NODIGIT 1 QUOTE " " " SAMEFONT SAMEFONTSIZE false false BASELINE false
undoped undoped u un und undo d ed ped oped NOCAPS NODIGIT 0 NOPUNCT undoped xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
" " " " " " " " " " ALLCAPS NODIGIT 1 QUOTE " " " SAMEFONT SAMEFONTSIZE false false BASELINE false
La la L La La La a La La La INITCAP NODIGIT 0 NOPUNCT La Xx Xx SAMEFONT SAMEFONTSIZE false false BASELINE true
2 2 2 2 2 2 2 2 2 2 NOCAPS ALLDIGIT 1 NOPUNCT X d d SAMEFONT SAMEFONTSIZE false false BASELINE true
Cu cu C Cu Cu Cu u Cu Cu Cu INITCAP NODIGIT 0 NOPUNCT Cu Xx Xx SAMEFONT SAMEFONTSIZE false false BASELINE true
04 04 0 04 04 04 4 04 04 04 NOCAPS ALLDIGIT 0 NOPUNCT XX dd d SAMEFONT SAMEFONTSIZE false false BASELINE true
, , , , , , , , , , ALLCAPS NODIGIT 1 COMMA , , , SAMEFONT SAMEFONTSIZE false false BASELINE false
synthesized synthesized s sy syn synt d ed zed ized NOCAPS NODIGIT 0 NOPUNCT synthesized xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
under under u un und unde r er der nder NOCAPS NODIGIT 0 NOPUNCT under xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
high high h hi hig high h gh igh high NOCAPS NODIGIT 0 NOPUNCT high xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
oxygen oxygen o ox oxy oxyg n en gen ygen NOCAPS NODIGIT 0 NOPUNCT oxygen xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE true
pressure pressure p pr pre pres e re ure sure NOCAPS NODIGIT 0 NOPUNCT pressure xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
, , , , , , , , , , ALLCAPS NODIGIT 1 COMMA , , , SAMEFONT SAMEFONTSIZE false false BASELINE false
were were w we wer were e re ere were NOCAPS NODIGIT 0 NOPUNCT were xxxx x SAMEFONT SAMEFONTSIZE false false BASELINE false
